time_period,Finance and insurance ,Government and government enterprises ,Health care and social assistance ,Manufacturing ,Other,"Professional, scientific, and technical services ",Real estate and rental and leasing ,Retail trade ,Transportation and warehousing ,Wholesale trade 
2001,0.07005730685706668,0.09700891914202048,0.10237458906625642,0.11982438426477798,0.2364432408993976,0.06214370416836539,0.15030917705857183,0.06723060725620958,0.031373587600761504,0.07948920914333496
2002,0.06540612936738878,0.09657226824470372,0.10161688331304011,0.12839387185299148,0.2360172106762783,0.06585416712022878,0.1443769359882681,0.06815277593946492,0.03106191689647356,0.0774207353604653
2003,0.06501883477626619,0.09722596115262996,0.09244826114460467,0.12706399238046698,0.24100267011633486,0.062220720038904546,0.14239107546376564,0.06733844301408085,0.03936077859019193,0.0821885433883383
2004,0.06588110092309116,0.10130574747486132,0.09739253886551319,0.11902787722252839,0.2395204594515554,0.06051694232059458,0.1413434399189915,0.05899224914266596,0.04972841449112531,0.0802673989425472
2005,0.06839616479095814,0.09871379298702282,0.09976698076743541,0.11119208722679316,0.22368022881122537,0.05942033051572771,0.14646514979508665,0.05585278986911704,0.06252281854353214,0.07591024099013365
2006,0.0722452929370784,0.09860276839397217,0.1002060787556799,0.12108317021758325,0.22814924811049186,0.057909295347775905,0.14982357667961332,0.05041878089976321,0.059179705535950484,0.0759030261496734
2007,0.07396305076283648,0.09653492029073973,0.09651458527314703,0.11192958544624977,0.24676970228149422,0.052309026670578185,0.15978564413354787,0.04561610912397254,0.0539308354303061,0.07348054962855795
2008,0.06647810379282088,0.09418766626260504,0.09609517210076447,0.11569234216031159,0.24080945782004798,0.05948655123371274,0.16915946072202895,0.044674273716732306,0.051530120620602006,0.06911671991279854
2009,0.08157050482165552,0.09720556651468559,0.09997728602750705,0.09525798804839956,0.23931991183506474,0.0615584461617365,0.16992268568853355,0.04635885617064125,0.05406764568228361,0.06389494715384521
2010,0.0780467321283793,0.0920633475645964,0.09379696628010031,0.09234373458965689,0.24855870331037938,0.06227098648492818,0.16214779265408566,0.04438917486533968,0.07445231341353198,0.060223159209080834
2011,0.07686703377188228,0.08966599689316071,0.09355484237165304,0.09011591355437051,0.25628094939637847,0.06565890883138051,0.16538732865198064,0.043862609855052685,0.06210094916526393,0.06360432838950057
2012,0.07978911649647474,0.08389237282609864,0.0883687660483307,0.09850804100467996,0.25267273109472904,0.06993521826650424,0.17004115849864157,0.040209281527017686,0.06210976689104531,0.06040986989826627
2013,0.07811280702782933,0.08274393793335659,0.0861808363439833,0.11237808829894352,0.25228372096152424,0.06935659711176231,0.16265208227411956,0.039758872487160486,0.060596414643468245,0.0592324196142844
2014,0.07954742154118598,0.07994516926165011,0.08415941863987321,0.1351801152717806,0.2518899399757777,0.06532967856600903,0.15044476839162543,0.038033203044551156,0.06344623698202934,0.05364266314031885
2015,0.08028616437610704,0.0786825343936713,0.08775371738037716,0.11937664294847297,0.2645642222871591,0.06358426470174114,0.14820020242235646,0.04123584020523715,0.06646025852317818,0.051050692523851686
2016,0.0847636703090666,0.07696271272331075,0.08720861682806096,0.11480582997342553,0.26942777056441636,0.059233113275012586,0.14701979827078243,0.0449462964174993,0.06814039810696586,0.04818030794048319
2017,0.08627099150219342,0.07333146401482411,0.08539913334485766,0.10194374987529538,0.28768564654730217,0.056150625871497654,0.14489131319566415,0.045225589251748174,0.07421830144044057,0.044883214384994506
2018,0.0874295923359419,0.0731320074421772,0.08737837825829106,0.10279030781765357,0.27286711490287563,0.05682412384171997,0.14282752688856004,0.046205679945221984,0.06914613738281564,0.0472999131465368
2019,0.08449690616122466,0.07159804248565219,0.0884786996676136,0.11991126778382233,0.29152650465225943,0.05715806755839765,0.1278435138647682,0.044677044636387685,0.06365722796646232,0.05069323840960585
2020,0.08868542219104054,0.07338977467469847,0.09451013970143549,0.11441831722070714,0.2924669857758767,0.05934746064256877,0.14504764634954403,0.05197029191325963,0.029788681304450053,0.05054366754302254
2021,0.08596367761551232,0.06768140088354949,0.09279342921163276,0.10631534985804858,0.3020185388407819,0.06308913542180379,0.14711315090687482,0.05423272924376991,0.0431579711239561,0.03911970866266507
2022,0.09159668075950614,0.06651613552737091,0.09686073076672715,0.07979000028230786,0.2987260449532104,0.06837645099823826,0.1604713409693332,0.05468559886946201,0.05554809604346701,0.032155273522485824
2023,0.08250002664648481,0.06733807344527061,0.10124722378320267,0.07069718394338627,0.30249863128596116,0.07212956905651337,0.16360330508530374,0.06115871670883405,0.0527985998445853,0.03208656030137898
2024,0.07713737193749272,0.06804089966964946,0.10229133703646634,0.06883207087315517,0.30709689319229855,0.07117258231515967,0.16164200821366426,0.06719849289314156,0.05316793218042626,0.03050019895257459
