year,w_county,workers,county,state
2023,42045,96965,Delaware County,PA
2023,42101,68068,Philadelphia County,PA
2023,42091,39735,Montgomery County,PA
2023,42029,25973,Chester County,PA
2023,42017,5825,Bucks County,PA
2023,42077,1707,Lehigh County,PA
2023,42003,1659,Allegheny County,PA
2023,42011,1614,Berks County,PA
2023,42071,1525,Lancaster County,PA
2023,42043,1467,Dauphin County,PA
2023,42095,1063,Northampton County,PA
2023,42133,1015,York County,PA
2023,42041,785,Cumberland County,PA
2023,42079,754,Luzerne County,PA
2023,42069,426,Lackawanna County,PA
2023,42089,303,Monroe County,PA
2023,42027,297,Centre County,PA
2023,42075,253,Lebanon County,PA
2023,42107,243,Schuylkill County,PA
2023,42055,159,Franklin County,PA
2023,42013,121,Blair County,PA
2023,42019,119,Butler County,PA
2023,42081,119,Lycoming County,PA
2023,42049,105,Erie County,PA
2023,42129,104,Westmoreland County,PA
2023,42125,101,Washington County,PA
2023,42037,87,Columbia County,PA
2023,42021,84,Cambria County,PA
2023,42097,78,Northumberland County,PA
2023,42001,71,Adams County,PA
2023,42109,65,Snyder County,PA
2023,42093,58,Montour County,PA
2023,42025,50,Carbon County,PA
2023,42127,49,Wayne County,PA
2023,42119,47,Union County,PA
2023,42007,46,Beaver County,PA
2023,42085,40,Mercer County,PA
2023,42063,33,Indiana County,PA
2023,42015,30,Bradford County,PA
2023,42033,30,Clearfield County,PA
2023,42061,26,Huntingdon County,PA
2023,42103,26,Pike County,PA
2023,42035,25,Clinton County,PA
2023,42087,24,Mifflin County,PA
2023,42051,21,Fayette County,PA
2023,42111,18,Somerset County,PA
2023,42005,17,Armstrong County,PA
2023,42039,16,Crawford County,PA
2023,42009,15,Bedford County,PA
2023,42073,15,Lawrence County,PA
2023,42047,14,Elk County,PA
2023,42065,12,Jefferson County,PA
2023,42117,12,Tioga County,PA
2023,42131,12,Wyoming County,PA
2023,42099,10,Perry County,PA
2023,42121,10,Venango County,PA
2023,42115,9,Susquehanna County,PA
2023,42031,7,Clarion County,PA
2023,42057,6,Fulton County,PA
2023,42067,6,Juniata County,PA
2023,42083,5,McKean County,PA
2023,42113,4,Sullivan County,PA
2023,42059,3,Greene County,PA
2023,42023,2,Cameron County,PA
2023,42123,2,Warren County,PA
2023,42105,1,Potter County,PA
