w_county,county,change,pct_change
42101,Philadelphia County,9083,15.39883021107061
42091,Montgomery County,5279,15.320989087531926
42029,Chester County,3307,14.590135003970705
42017,Bucks County,1077,22.683235046335298
42003,Allegheny County,493,42.281303602058316
42077,Lehigh County,392,29.80988593155893
42095,Northampton County,332,45.4172366621067
42011,Berks County,321,24.825986078886313
42071,Lancaster County,251,19.701726844583987
42133,York County,237,30.46272493573265
42079,Luzerne County,222,41.72932330827068
42043,Dauphin County,209,16.613672496025437
42075,Lebanon County,84,49.70414201183432
42019,Butler County,69,138
42107,Schuylkill County,48,24.615384615384617
42055,Franklin County,48,43.24324324324324
42089,Monroe County,35,13.059701492537313
42013,Blair County,28,30.107526881720432
42049,Erie County,26,32.91139240506329
42021,Cambria County,26,44.827586206896555
42069,Lackawanna County,25,6.234413965087282
42109,Snyder County,25,62.5
42093,Montour County,25,75.75757575757575
42125,Washington County,22,27.848101265822784
42119,Union County,22,88
42027,Centre County,14,4.946996466431095
42025,Carbon County,14,38.88888888888889
42039,Crawford County,11,220.00000000000003
42015,Bradford County,9,42.857142857142854
42005,Armstrong County,9,112.5
42047,Elk County,9,180
42087,Mifflin County,8,50
42127,Wayne County,7,16.666666666666664
42061,Huntingdon County,6,30
42065,Jefferson County,6,100
42001,Adams County,5,7.575757575757576
42057,Fulton County,5,500
42131,Wyoming County,4,50
42085,Mercer County,3,8.108108108108109
42063,Indiana County,3,10
42035,Clinton County,3,13.636363636363635
42009,Bedford County,3,25
42117,Tioga County,3,33.33333333333333
42121,Venango County,1,11.11111111111111
42067,Juniata County,1,20
42097,Northumberland County,0,0
42113,Sullivan County,0,0
42023,Cameron County,0,0
42123,Warren County,0,0
42007,Beaver County,-1,-2.127659574468085
42051,Fayette County,-1,-4.545454545454546
42083,McKean County,-1,-16.666666666666664
42103,Pike County,-2,-7.142857142857142
42073,Lawrence County,-2,-11.76470588235294
42031,Clarion County,-3,-30
42105,Potter County,-4,-80
42041,Cumberland County,-6,-0.7585335018963337
42115,Susquehanna County,-6,-40
42059,Greene County,-6,-66.66666666666666
42111,Somerset County,-10,-35.714285714285715
42037,Columbia County,-11,-11.224489795918368
42033,Clearfield County,-11,-26.82926829268293
42099,Perry County,-15,-60
42081,Lycoming County,-34,-22.22222222222222
42129,Westmoreland County,-42,-28.767123287671232
42045,Delaware County,-5580,-5.441513481886001
